timestamp,vehicleCount,congestionLevel,averageSpeed,hour,dayOfWeek,isWeekend
2025-04-23T13:07:06.2962375,65,1,55.0215987858128,13,3,False
2025-04-23T13:07:16.3088371,162,3,30.43304650369608,13,3,False
2025-04-23T13:07:26.322673,63,1,57.302519715017695,13,3,False
2025-04-23T13:07:36.3383234,173,3,36.401388742673525,13,3,False
2025-04-23T13:07:46.3445704,84,1,62.31079508739843,13,3,False
2025-04-23T13:07:56.3700945,157,3,34.957194060871004,13,3,False
2025-04-23T13:08:06.383475,91,1,64.13643156884373,13,3,False
2025-04-23T13:08:16.3907156,194,3,33.58524709920996,13,3,False
2025-04-23T13:08:26.3988298,93,1,55.19616644352376,13,3,False
2025-04-23T13:08:36.4217176,209,4,21.67312605487223,13,3,False
2025-04-23T13:08:46.430876,104,2,50.65742995830742,13,3,False
2025-04-23T13:08:56.4431057,223,4,22.890345257207883,13,3,False
2025-04-23T13:09:06.4497275,96,1,63.55114753949239,13,3,False
2025-04-23T13:09:16.4596241,209,4,22.1852895855124,13,3,False
2025-04-23T13:09:26.475188,93,1,58.16450260028896,13,3,False
2025-04-23T13:09:36.4966757,184,3,33.472257929963725,13,3,False
2025-04-23T13:09:46.5118888,112,2,44.3926788013276,13,3,False
2025-04-23T13:09:56.5313415,187,3,33.00769153023593,13,3,False
2025-04-23T13:10:06.5355652,113,2,47.1289872079193,13,3,False
2025-04-23T13:10:16.542338,187,3,33.5482362401192,13,3,False
2025-04-23T13:10:26.5519203,68,1,63.48567713531594,13,3,False
2025-04-23T13:10:36.560407,206,4,22.31470196265101,13,3,False
2025-04-23T13:10:46.5721393,92,1,61.66311647377204,13,3,False
2025-04-23T13:10:56.5883696,187,3,34.5407995053023,13,3,False
2025-04-23T13:11:06.5934418,68,1,58.62292254193868,13,3,False
2025-04-23T13:11:16.6082904,155,3,37.05076835547706,13,3,False
2025-04-23T13:11:26.6215881,46,0,70.74202148935356,13,3,False
2025-04-23T13:11:36.6386204,131,2,48.10561466943256,13,3,False
2025-04-23T13:11:46.6535934,36,0,79.2388435040546,13,3,False
2025-04-23T13:11:56.6669217,122,2,48.19419428192429,13,3,False
2025-04-23T13:12:06.6866435,228,5,7.871178437029524,13,3,False
2025-04-23T13:12:16.7059481,114,2,47.80674675570625,13,3,False
2025-04-23T13:12:26.7188704,245,5,12.560311858371122,13,3,False
2025-04-23T13:12:36.7338716,134,2,49.4382754345172,13,3,False
2025-04-23T13:12:46.7382946,153,3,33.82367147609847,13,3,False
2025-04-23T13:12:56.7526336,71,1,57.431528507272205,13,3,False
2025-04-23T13:13:06.7606185,199,3,31.073093681816022,13,3,False
2025-04-23T13:13:16.7791439,104,2,48.79998582825261,13,3,False
2025-04-23T13:13:26.7974021,175,3,32.753903699819425,13,3,False
2025-04-23T13:13:36.807876,68,1,59.56924360771622,13,3,False
2025-04-23T13:13:46.8274744,209,4,19.520584962807664,13,3,False
2025-04-23T13:13:56.845171,119,2,48.15663097922102,13,3,False
2025-04-23T13:14:06.8544867,34,0,74.41450914669305,13,3,False
2025-04-23T13:14:16.8699803,130,2,49.36553744358638,13,3,False
2025-04-23T13:14:26.8807038,15,0,70.32801934301791,13,3,False
2025-04-23T13:14:36.9010239,125,2,49.940067122449264,13,3,False
2025-04-23T13:14:46.9230086,77,1,57.52265014911276,13,3,False
2025-04-23T13:14:56.9356729,173,3,35.8458229071208,13,3,False
2025-04-23T13:15:06.9551362,50,1,62.29257250269586,13,3,False
2025-04-23T13:15:16.9669095,146,2,51.12841048010955,13,3,False
