timestamp,vehicleCount,congestionLevel,averageSpeed,hour,dayOfWeek,isWeekend
2025-04-23T13:07:06.0621631,138,2,45.18141016418847,13,3,False
2025-04-23T13:07:16.0679846,65,1,58.78466723211557,13,3,False
2025-04-23T13:07:26.0737798,165,3,37.46263575797823,13,3,False
2025-04-23T13:07:36.0832585,95,1,64.18976464978796,13,3,False
2025-04-23T13:07:46.1226979,192,3,37.51713862080062,13,3,False
2025-04-23T13:07:56.1670446,60,1,64.71511642999008,13,3,False
2025-04-23T13:08:06.1756049,193,3,35.4897070866983,13,3,False
2025-04-23T13:08:16.1846618,82,1,59.32540322504468,13,3,False
2025-04-23T13:08:26.1959549,176,3,32.15463909621448,13,3,False
2025-04-23T13:08:36.2026325,99,1,64.63807746210024,13,3,False
2025-04-23T13:08:46.2083562,185,3,35.21573960766871,13,3,False
2025-04-23T13:08:56.2214856,128,2,50.57654977270961,13,3,False
2025-04-23T13:09:06.2415404,199,3,37.103874816155766,13,3,False
2025-04-23T13:09:16.2577504,116,2,49.57693182020367,13,3,False
2025-04-23T13:09:26.2699683,9,0,77.55691194116585,13,3,False
2025-04-23T13:09:36.2767599,130,2,49.99316395253104,13,3,False
2025-04-23T13:09:46.2900244,107,2,46.93785839148234,13,3,False
2025-04-23T13:09:56.2951961,225,5,10.40201227773645,13,3,False
2025-04-23T13:10:06.3026458,121,2,45.59110285304176,13,3,False
2025-04-23T13:10:16.3264666,39,0,67.75709520515113,13,3,False
2025-04-23T13:10:26.3315055,120,2,42.43870485830071,13,3,False
2025-04-23T13:10:36.3422082,241,5,5.994367961791724,13,3,False
2025-04-23T13:10:46.3547199,163,3,37.58353574499715,13,3,False
2025-04-23T13:10:56.3673647,39,0,66.56992078088305,13,3,False
2025-04-23T13:11:06.3875681,139,2,48.82569388073649,13,3,False
2025-04-23T13:11:16.4056787,99,1,56.23924491359322,13,3,False
2025-04-23T13:11:26.4181542,205,4,19.66366898563416,13,3,False
2025-04-23T13:11:36.4324261,103,2,49.483477624643925,13,3,False
2025-04-23T13:11:46.4494227,208,4,20.92617941003348,13,3,False
2025-04-23T13:11:56.4646296,108,2,43.76333746453359,13,3,False
2025-04-23T13:12:06.48077,73,1,58.41178045579024,13,3,False
2025-04-23T13:12:16.5004136,174,3,31.257723192818474,13,3,False
2025-04-23T13:12:26.5208503,53,1,55.9656736406319,13,3,False
2025-04-23T13:12:36.5280961,167,3,36.26390443540004,13,3,False
2025-04-23T13:12:46.6336526,55,1,55.71050077118943,13,3,False
2025-04-23T13:12:56.6578381,169,3,30.70924465935169,13,3,False
2025-04-23T13:13:06.6666949,83,1,62.92328086851577,13,3,False
2025-04-23T13:13:16.6855372,179,3,32.6445093465483,13,3,False
2025-04-23T13:13:26.6891573,80,1,61.02596292121174,13,3,False
2025-04-23T13:13:36.6975776,202,4,19.18836198261227,13,3,False
2025-04-23T13:13:46.7026356,121,2,45.43378984020343,13,3,False
2025-04-23T13:13:56.7061619,76,1,62.11384968875169,13,3,False
2025-04-23T13:14:06.7134825,206,4,19.482162881446406,13,3,False
2025-04-23T13:14:16.7309101,127,2,43.61462884707184,13,3,False
2025-04-23T13:14:26.7393263,1,0,66.21842026592408,13,3,False
2025-04-23T13:14:36.7571134,137,2,51.08721927908592,13,3,False
2025-04-23T13:14:46.7653127,119,2,51.308590347053496,13,3,False
2025-04-23T13:14:56.7795472,245,5,13.59618231753352,13,3,False
2025-04-23T13:15:06.7833584,120,2,44.518580039560185,13,3,False
2025-04-23T13:15:16.7910161,101,2,51.63496395964846,13,3,False
